chain_name_exact,tier_1_5,tier_name,channel,ownership_model,distributor,visibility,stores,products_tracked,predictable_restock,has_kiosk,kiosk_status,score_note
Academy Sports + Outdoors,5,Best Chance,shelf,corporate,,live,331,3,False,False,no,
Barnes & Noble,5,Best Chance,shelf,corporate,Excell Brands (TPCi-owned),live,746,8,True,False,no,Excell (TPCi-owned) = MSRP; restocks DAILY (not just Tue/Thu); best place to check on a rhythm.
Best Buy,5,Best Chance,shelf,corporate,,live,1002,8,True,False,no,
Books-A-Million,5,Best Chance,shelf,corporate,Excell Brands (TPCi-owned),live,185,3,False,False,no,
CVS,5,Best Chance,shelf,corporate,,live,8898,6,False,False,no,
Dick's Sporting Goods,5,Best Chance,shelf,corporate,,live,777,3,True,False,no,
Dollar General,5,Best Chance,shelf,corporate,,live,20167,4,True,False,no,
Gelson's,5,Best Chance,shelf+kiosk,corporate,,live,24,0,False,True,confirmed,
H-E-B,5,Best Chance,shelf+kiosk,corporate,,live,0,0,False,True,confirmed,Texas grocer; official TPCi kiosk host = MSRP. In DB w/ logo.
Hobby Lobby,5,Best Chance,shelf,corporate,,live,888,5,False,False,no,
Meijer,5,Best Chance,shelf,corporate,Excell Brands (TPCi-owned),live,267,8,True,False,no,
Micro Center,5,Best Chance,shelf,corporate,,live,3,4,False,False,no,
Pavilions,5,Best Chance,shelf+kiosk,corporate,,live,31,0,False,True,confirmed,
Star Market,5,Best Chance,shelf+kiosk,corporate,,live,21,0,False,True,confirmed,Hosts official TPCi kiosk = MSRP (owner-confirmed).
Target,5,Best Chance,shelf,corporate,Excell Brands (TPCi-owned),live,1673,8,True,False,no,"Excell (TPCi-owned) = MSRP; predictable weekly drops (Westlake Fri AM, gone fast)."
Walgreens,5,Best Chance,shelf,corporate,,live,7829,8,True,False,no,
Ace Hardware,4,Mostly Reliable,shelf,franchise,,live,4827,7,False,False,no,
Acme,4,Mostly Reliable,shelf,corporate,,live,157,0,False,False,no,
Albertsons,4,Mostly Reliable,shelf+kiosk,corporate,,live,363,6,True,True,verify,
BJ's Wholesale,4,Mostly Reliable,shelf,corporate,,live,277,7,False,False,no,
Big 5 Sporting Goods,4,Mostly Reliable,shelf,corporate,,live,384,5,True,False,no,
City Market,4,Mostly Reliable,shelf,corporate,,live,34,0,False,False,no,
Food 4 Less,4,Mostly Reliable,shelf+kiosk,corporate,,live,106,0,False,True,verify,
Fred Meyer,4,Mostly Reliable,shelf+kiosk,corporate,,live,135,0,False,True,verify,
Fry's,4,Mostly Reliable,shelf+kiosk,corporate,,live,131,0,False,True,verify,
Hallmark,4,Mostly Reliable,shelf,franchise,,live,1080,1,False,False,no,
Harris Teeter,4,Mostly Reliable,shelf,corporate,,live,262,0,False,False,no,
Hot Topic,4,Mostly Reliable,shelf,corporate,,live,586,7,False,False,no,
Jewel-Osco,4,Mostly Reliable,shelf,corporate,,live,189,0,False,False,no,
King Soopers,4,Mostly Reliable,shelf+kiosk,corporate,,live,123,0,False,True,verify,
