id,name,address,city,state,phone,chain
113289,D6 Games,"331 E 87th Ave
STE 102",Anchorage,AK,9079476066,Independent Card Shop
113290,Glacier Games,9191 Old Seward Hwy. Suite #7,Anchorage,AK,9076774390,Independent Card Shop
111882,HFH Anchorage ReStore,"1200 W. Northern Lights Blvd,Unit C",Anchorage,AK,9077438060,Habitat ReStore
113292,Beyond Adventure Gaming,1150 S Colony Way,Palmer,AK,9077457529,Independent Card Shop
114372,Winter's Veil,300 5th Ave,Skagway,AK,9519566947,Independent Card Shop
113291,MJ Cards and Comics,3020 N Lazy Eight Court,Wasilla,AK,9073574263,Independent Card Shop
114515,AK Hobby RAWKS,321 Front St,Wrangell,AK,9079421356,Independent Card Shop
114514,Laughing Star Hobbies,222 Front St,Wrangell,AK,3603342531,Independent Card Shop
113516,Sanctum Tattoos and Comics,2325 1st Ave N,Birmingham,AL,2052011072,Independent Card Shop
113511,Notorious Collectibles,214 S. McCleskey Street Suite 844,Boaz,AL,2564700089,Independent Card Shop
112356,Another Level Cards,4 8th Ave SW,Childersburg,AL,2563681008,Independent Card Shop
112519,Gamer Geeks - Cullman,2046 St Joseph Dr NW,Cullman,AL,2569815746,Independent Card Shop
111461,"HFH of Morgan County, Alabama ReStore",1123 Central Pkwy SW,Decatur,AL,2563081160,Habitat ReStore
112516,The Comic Shop,1815 D 6th Ave SE,Decatur,AL,2563510225,Independent Card Shop
112399,The Hobby Hub,2576 Montgomery Hwy,Dothan,AL,3348030462,Independent Card Shop
111416,Wiregrass HFH ReStore,2086 Montgomery Highway,Dothan,AL,3347928453,Habitat ReStore
112398,Magnolia Gaming - Enterprise,117 N Main St,Enterprise,AL,3344752028,Independent Card Shop
111465,Shoals HFH ReStore,1120 N Royal Ave,Florence,AL,2567644494,Habitat ReStore
113536,Forgotten Realm,15390 Co Rd 73,Foley,AL,2519239266,Independent Card Shop
113512,Fever Dream,104 1st St,Fort Payne,AL,2562736161,Independent Card Shop
112518,PO's Cards and Coffee,1805 Hwy 31 SW,Hartselle,AL,2566162041,Independent Card Shop
112517,The Main Menu Gaming,113 Main St E,Hartselle,AL,2563413404,Independent Card Shop
112510,Gravity Games,2620 Clinton Ave W,Huntsville,AL,2562854774,Independent Card Shop
111462,HFH of the River Valley ReStore,400 Pratt Ave NW,Huntsville,AL,2565332282,Habitat ReStore
112514,Lucky Dice Games,12021 Memorial Pkwy SE,Huntsville,AL,2563619398,Independent Card Shop
112512,Mastermind Gaming,909 NW Oakwood Ave STE B,Huntsville,AL,2568748850,Independent Card Shop
112511,The Deep Comics and Games,2205 Mock Rd SW,Huntsville,AL,2565321292,Independent Card Shop
111463,HFH Greater Birmingham ReStore,7952 Crestwood Blvd,Irondale,AL,2059511234,Habitat ReStore
113514,The Guild,4330 Hwy 78 E,Jasper,AL,2055300088,Independent Card Shop
112515,High Ground Hobbies and Cafe,13381 Hatchett Rd W,Madison,AL,2562624308,Independent Card Shop
112513,Raging Gazebo Comics and Games,8760 Madison Blvd,Madison,AL,2563255450,Independent Card Shop
112521,Gamers N Geeks,5701 Moffett Rd,Mobile,AL,2517256640,Independent Card Shop
111431,HFH of Southwest Alabama ReStore,3712 Airport Blvd,Mobile,AL,2516621121,Habitat ReStore
112522,Play and Talk,2370 Hillcrest Rd,Mobile,AL,2512434421,Independent Card Shop
112520,The Broken Dice Guild,2090 Schillinger Rd S,Mobile,AL,2512108932,Independent Card Shop
112365,Hobby Hole,910 Adams Ave,Montgomery,AL,3447774162,Independent Card Shop
111468,Montgomery HFH ReStore,2266 E South Blvd,Montgomery,AL,3342810880,Habitat ReStore
113548,Down to Game - Northport,933 McFarland Blvd,Northport,AL,2056509199,Independent Card Shop
111418,Alabama HFH ReStore,3831 Pepperell Pkwy,Opelika,AL,3347376400,Habitat ReStore
112364,Off The Rails Gaming,817 S. Railroad Ave,Opelika,AL,3342031765,Independent Card Shop
113537,Game Kastle - Orange Beach,4851 Wharf Pkwy E,Orange Beach,AL,2512234298,Independent Card Shop
111398,Calhoun Cleburne HFH ReStore,310 Industrial Dr.,Oxford,AL,2564031291,Habitat ReStore
112354,Oxford Gaming Center,181 Plaza Lane,Oxford,AL,2562980765,Independent Card Shop
113515,Valhalla Board Game Cafe,2408 Pelham Pkwy,Pelham,AL,2055470677,Independent Card Shop
112355,Geek Out LLC,209 Cogswell Ave,Pell City,AL,2058589305,Independent Card Shop
112360,Holo Haven,1018 13th St,Phenix City,AL,7062259299,Independent Card Shop
112361,Moxie Games - Phenix City,1126 E 280 Byp,Phenix City,AL,3349476700,Independent Card Shop
111464,Gadsden-Etowah HFH ReStore,"3225 Rainbow Drive, Suite 248A",Rainbow City,AL,2564673719,Habitat ReStore
111430,HFH of Baldwin County ReStore- Summerdale,19289 State Highway 59,Summerdale,AL,2519896422,Habitat ReStore
112524,Legacy Books,100 State Highway 59 N,Summerdale,AL,2696154387,Independent Card Shop
112357,Scarlet Raven Gaming,100 Watterson Pkwy,Trussville,AL,2056446934,Independent Card Shop
111466,HFH of Tuscaloosa ReStore,504 14th St,Tuscaloosa,AL,2053494620,Habitat ReStore
113547,One Up TCG - Tuscaloosa,506 14th St,Tuscaloosa,AL,6016725825,Independent Card Shop
113513,Gamer Geeks,8037 Rouse Road,Warrior,AL,2058109709,Independent Card Shop
113673,Lucky Llama Games,720 N Hwy 71,Alma,AR,4792259532,Independent Card Shop
114110,Kimberlin’s Kards,634 Main St,Arkadelphia,AR,5016250505,Independent Card Shop
114207,Gamers' Haven - Batesville,3050 Harrison St,Batesville,AR,8705695700,Independent Card Shop
114206,OA Gaming Emporium,2105 Harrison St,Batesville,AR,5308158331,Independent Card Shop
112534,151 Collectables,7076 Bauxite Hwy,Bauxite,AR,5012321733,Independent Card Shop
112535,Archangel,18033 I-30 Frontage Rd,Benton,AR,5013264968,Independent Card Shop
111495,"HFH of Saline County, AR ReStore- Benton",124 S Market St,Benton,AR,5013150011,Habitat ReStore
113378,Gear Gaming - Bentonville,1400 SE Walton Blvd,Bentonville,AR,4798716416,Independent Card Shop
111700,HFH of Northwest Arkansas ReStore- Benton County,1212 North Walton Blvd.,Bentonville,AR,4792733638,Habitat ReStore
111496,"HFH of Saline County, AR ReStore- Bryant",3801 AR-5,Bryant,AR,5019438004,Habitat ReStore
112529,Stage 2 Games,1800 S Pine St,Cabot,AR,5017436322,Independent Card Shop
112530,Twisted Cardboard,521 W Main St,Cabot,AR,5012153102,Independent Card Shop
113559,PokeVentures,146 W Main St,Clarksville,AR,4797741925,Independent Card Shop
112532,Game Goblins - Conway,1100 S Amity Rd,Conway,AR,5014267111,Independent Card Shop
114323,Gabe's Cave,2101 N College Ave,El Dorado,AR,8706391139,Independent Card Shop
113383,Eureka Springs Gaming,44 Kingshighway,Eureka Springs,AR,4792445776,Independent Card Shop
113381,Gear Gaming - Fayetteville,3029 N College Ave,Fayetteville,AR,4792768110,Independent Card Shop
111701,HFH of Northwest Arkansas ReStore- Washington County,1421 E 15th St,Fayetteville,AR,4795759696,Habitat ReStore
113382,Sword and Tower Games,2355 N Center St,Fayetteville,AR,4792402127,Independent Card Shop
111705,Arkansas Valley HFH ReStore,421 Towson Ave,Fort Smith,AR,4797832766,Habitat ReStore
114208,Rebel X Gaming,2868a US-62/412,Highland,AR,8709555004,Independent Card Shop
111734,Garland County HFH ReStore- Downtown Hot Springs,515 W. Grand Ave.,Hot Springs,AR,5013214241,Habitat ReStore
111733,Garland County HFH ReStore- Lake Hamilton,2817 Airport Road,Hot Springs,AR,5017674483,Habitat ReStore
114111,Steadfast Hobbies and Games,614 Ouachita Ave,Hot Springs,AR,5016176058,Independent Card Shop
111735,Garland County HFH ReStore- Hot Springs Village,3825 North Highway 7,Hot Springs Village,AR,5016243333,Habitat ReStore
112527,The Game Store - Jacksonville,2126 N 1st St,Jacksonville,AR,5016874263,Independent Card Shop
113580,8 Bit Legends,2810 E Highland Dr,Jonesboro,AR,8709196082,Independent Card Shop
111492,HFH of Northeast Arkansas ReStore,3610 E. Highland Dr.,Jonesboro,AR,8703360462,Habitat ReStore
113558,Green Door Collectibles,23847 US-64,Knoxville,AR,4797038040,Independent Card Shop
111497,HFH of Central Arkansas ReStore- Colony West,10300 N Rodney Parham Rd.,Little Rock,AR,5017719497,Habitat ReStore
111494,HFH of Central Arkansas ReStore- S. University,6700 S University,Little Rock,AR,5017719494,Habitat ReStore
112533,Otaku Takeout,11201 Bass Pro Dr,Little Rock,AR,5015618063,Independent Card Shop
114512,Legendary Dragon,916 Hwy 62 E,Mountain Home,AR,8707069697,Independent Card Shop
114513,The Thrifty Nerd,1322 Bradley Dr,Mountain Home,AR,8704217423,Independent Card Shop
112531,Archangel North LLC,9871 Maumelle Blvd,North Little Rock,AR,5018315512,Independent Card Shop
112528,Hobbytown North Little Rock,2755 Lakewood Village Dr,North Little Rock,AR,5018120113,Independent Card Shop
113581,Plague 22 Collectibles,405 S 6th St,Paragould,AR,8704763110,Independent Card Shop
113582,Mythic Forge,1805 Old County Rd,Pocahontas,AR,8707694915,Independent Card Shop
113377,Hidden Vault Games,4500 W Walnut St,Rogers,AR,4794052222,Independent Card Shop
113557,Good Game,407 North Arkansas Ave,Russellville,AR,4792195162,Independent Card Shop
111493,"HFH of White County, Arkansas ReStore",1315 W Beebe Capps Expy,Searcy,AR,5012785530,Habitat ReStore
112536,The Rip Room,1507 W Pleasure Ave,Searcy,AR,5015045659,Independent Card Shop
113379,Final Boss Games,5320 W Sunset Ave STE 172,Springdale,AR,4795022600,Independent Card Shop
113380,Games Explosion,1110 Mathias Dr,Springdale,AR,4797500133,Independent Card Shop
114212,Cryptid Gaming,1504 N Falls Blvd,Wynne,AR,8705873099,Independent Card Shop
113110,Deer Valley Collectibles,42211 N 41st Dr STE A149,Anthem,AZ,6239551945,Independent Card Shop
113103,Enchanted Lotus Games,114 S 5th St,Buckeye,AZ,6236683102,Independent Card Shop
113118,Game Outpost - Chandler,950 E Pecos Rd,Chandler,AZ,4804579521,Independent Card Shop
114196,Game On - Cottonwood,1645 E Cottonwood St,Cottonwood,AZ,9282272000,Independent Card Shop
111803,Verde Valley HFH ReStore,737 S Main St,Cottonwood,AZ,9286496788,Habitat ReStore
114198,Cab Comics,1471 S Milton Rd,Flagstaff,AZ,9287741655,Independent Card Shop
114199,Good Game Cafe,1000 N Humphreys St,Flagstaff,AZ,9282242927,Independent Card Shop
111801,HFH of Northern Arizona ReStore,2016 N 4th St,Flagstaff,AZ,9287791314,Habitat ReStore
113116,Desert Games,1550 N Stonehenge Dr #102,Gilbert,AZ,4804976003,Independent Card Shop
113098,Next Level Gaming,756 N Dysart Rd,Goodyear,AZ,6237487458,Independent Card Shop
113097,Tabletop Wargamers,13291 W McDowell Rd,Goodyear,AZ,6234401261,Independent Card Shop
114197,Copper Town Games,889 Hampshire Ave,Jerome,AZ,7605743312,Independent Card Shop
114436,Quest Realm,2169 Swanson Ave,Lake Havasu City,AZ,9288893265,Independent Card Shop
114437,Valhalla Gaming,3550 Challenger Dr,Lake Havasu City,AZ,9282799132,Independent Card Shop
114114,Authority Games,6134 East Main Street,Mesa,AZ,4803009957,Independent Card Shop
113119,Fallout Games - Mesa,3614 East Southern Avenue STE A-102,Mesa,AZ,6022835150,Independent Card Shop
114113,Hyperion Games,4824 E Baseline Rd STE 113,Mesa,AZ,4802521003,Independent Card Shop
113117,Ronin Games AZ,1337 S Gilbert Rd Suite 123-124,Mesa,AZ,4807983690,Independent Card Shop
114115,Spotted Panda,1118 N Recker Rd,Mesa,AZ,4803221446,Independent Card Shop
113115,The Silver Key Lounge,1837 W Guadalupe Rd,Mesa,AZ,4805344060,Independent Card Shop
114116,Tucson Games and Gadgets - Mesa,6555 E Southern Ave,Mesa,AZ,5207524826,Independent Card Shop
111805,HFH Central Arizona ReStore- Peoria,9133 NW Grand Ave,Peoria,AZ,6235516000,Habitat ReStore
113101,Silver Dragon Games LLC,8085 W Bell Rd,Peoria,AZ,6232481207,Independent Card Shop
113104,Gamers Cove,1470 E Thomas Rd,Phoenix,AZ,4809564009,Independent Card Shop
113102,Gamers Guild - North Phoenix,1818 W Bell Rd,Phoenix,AZ,6025814269,Independent Card Shop
